"iv_malla_modi_id","mq_evi_mean","mq_evi_cv","mq_max","mq_evi_meanL","mq_evi_cvL","clu"
152303,1,4,2,"A","d","Ad2"
152304,3,4,2,"C","d","Cd2"
152305,3,4,1,"C","d","Cd1"
152306,3,4,4,"C","d","Cd4"
152307,2,3,1,"B","c","Bc1"
152308,2,4,1,"B","d","Bd1"
152309,2,3,1,"B","c","Bc1"
152310,1,4,1,"A","d","Ad1"
152311,1,3,1,"A","c","Ac1"
152312,1,3,1,"A","c","Ac1"
152313,1,3,2,"A","c","Ac2"
152314,1,3,1,"A","c","Ac1"
152982,2,3,2,"B","c","Bc2"
152983,2,4,2,"B","d","Bd2"
152984,3,4,1,"C","d","Cd1"
152985,2,4,1,"B","d","Bd1"
152986,2,4,1,"B","d","Bd1"
152987,2,4,1,"B","d","Bd1"
152988,1,4,1,"A","d","Ad1"
152989,1,4,1,"A","d","Ad1"
152990,1,4,1,"A","d","Ad1"
152991,1,3,1,"A","c","Ac1"
152992,1,2,1,"A","b","Ab1"
153661,2,4,1,"B","d","Bd1"
153662,2,4,2,"B","d","Bd2"
153663,2,4,2,"B","d","Bd2"
153664,2,4,1,"B","d","Bd1"
153665,1,4,1,"A","d","Ad1"
153666,1,4,2,"A","d","Ad2"
153667,2,4,1,"B","d","Bd1"
153668,2,4,1,"B","d","Bd1"
153669,1,3,1,"A","c","Ac1"
153670,1,3,1,"A","c","Ac1"
153671,1,3,2,"A","c","Ac2"
154341,2,4,2,"B","d","Bd2"
154342,2,4,1,"B","d","Bd1"
154343,1,4,2,"A","d","Ad2"
154344,2,4,2,"B","d","Bd2"
154345,1,4,2,"A","d","Ad2"
154346,1,4,1,"A","d","Ad1"
154347,2,4,2,"B","d","Bd2"
154348,2,4,1,"B","d","Bd1"
154349,1,4,2,"A","d","Ad2"
155022,1,4,1,"A","d","Ad1"
155023,1,4,2,"A","d","Ad2"
155024,1,4,2,"A","d","Ad2"
155025,1,4,1,"A","d","Ad1"
161084,2,1,1,"B","a","Ba1"
161085,1,1,1,"A","a","Aa1"
161086,1,1,1,"A","a","Aa1"
161087,1,1,1,"A","a","Aa1"
161088,1,2,1,"A","b","Ab1"
161089,1,3,1,"A","c","Ac1"
161761,3,3,1,"C","c","Cc1"
161762,2,2,1,"B","b","Bb1"
161763,1,2,1,"A","b","Ab1"
161764,1,1,1,"A","a","Aa1"
161765,1,1,1,"A","a","Aa1"
161766,1,1,1,"A","a","Aa1"
161767,1,1,1,"A","a","Aa1"
161768,2,2,1,"B","b","Bb1"
161769,2,2,1,"B","b","Bb1"
162440,2,3,1,"B","c","Bc1"
162441,2,2,1,"B","b","Bb1"
162442,1,2,1,"A","b","Ab1"
162443,1,2,1,"A","b","Ab1"
162444,1,1,1,"A","a","Aa1"
162445,1,1,1,"A","a","Aa1"
162446,1,1,1,"A","a","Aa1"
162447,2,3,1,"B","c","Bc1"
162448,2,3,1,"B","c","Bc1"
162449,2,3,1,"B","c","Bc1"
162450,3,3,1,"C","c","Cc1"
162451,3,3,1,"C","c","Cc1"
162452,2,3,1,"B","c","Bc1"
162453,1,4,1,"A","d","Ad1"
162454,1,2,1,"A","b","Ab1"
162455,1,2,1,"A","b","Ab1"
163119,2,3,2,"B","c","Bc2"
163120,2,3,1,"B","c","Bc1"
163121,2,3,1,"B","c","Bc1"
163122,2,4,1,"B","d","Bd1"
163123,2,4,1,"B","d","Bd1"
163124,2,4,1,"B","d","Bd1"
163125,2,3,1,"B","c","Bc1"
163126,2,3,1,"B","c","Bc1"
163127,2,3,1,"B","c","Bc1"
163128,2,3,1,"B","c","Bc1"
163129,2,2,1,"B","b","Bb1"
163130,2,2,1,"B","b","Bb1"
163131,1,1,1,"A","a","Aa1"
163132,1,2,1,"A","b","Ab1"
163133,1,2,1,"A","b","Ab1"
163134,1,2,1,"A","b","Ab1"
163135,1,2,1,"A","b","Ab1"
163136,1,1,1,"A","a","Aa1"
163798,2,4,1,"B","d","Bd1"
163799,2,4,1,"B","d","Bd1"
163800,3,4,1,"C","d","Cd1"
163801,3,4,1,"C","d","Cd1"
163802,2,4,1,"B","d","Bd1"
163803,2,4,1,"B","d","Bd1"
163804,2,4,1,"B","d","Bd1"
163805,2,3,1,"B","c","Bc1"
163806,2,3,1,"B","c","Bc1"
163807,2,3,1,"B","c","Bc1"
163808,2,2,1,"B","b","Bb1"
163809,2,2,1,"B","b","Bb1"
163810,1,3,1,"A","c","Ac1"
163811,2,2,1,"B","b","Bb1"
163812,2,1,1,"B","a","Ba1"
163813,1,2,1,"A","b","Ab1"
163814,2,2,1,"B","b","Bb1"
163815,2,2,1,"B","b","Bb1"
163816,2,3,1,"B","c","Bc1"
164478,2,3,1,"B","c","Bc1"
164479,2,3,1,"B","c","Bc1"
164480,2,4,1,"B","d","Bd1"
164481,2,4,1,"B","d","Bd1"
164482,2,4,1,"B","d","Bd1"
164483,2,4,1,"B","d","Bd1"
164484,2,4,1,"B","d","Bd1"
164485,2,4,1,"B","d","Bd1"
164486,2,4,1,"B","d","Bd1"
164487,2,4,1,"B","d","Bd1"
164488,2,4,1,"B","d","Bd1"
164489,2,3,1,"B","c","Bc1"
164490,2,3,1,"B","c","Bc1"
164491,2,3,1,"B","c","Bc1"
164492,2,2,1,"B","b","Bb1"
164493,2,3,1,"B","c","Bc1"
164494,2,3,1,"B","c","Bc1"
164495,2,3,1,"B","c","Bc1"
165157,3,3,1,"C","c","Cc1"
165158,2,3,1,"B","c","Bc1"
165159,2,4,1,"B","d","Bd1"
165160,2,4,1,"B","d","Bd1"
165161,2,4,1,"B","d","Bd1"
165162,2,4,1,"B","d","Bd1"
